Date,Districts
11-1-2021,"['Chhattisgarh-Korba.csv', 'Karnataka-Chitradurga.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
12-1-2021,"['Chhattisgarh-Korba.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Champhai.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
13-1-2021,"['Mizoram-Saiha.csv', 'Chhattisgarh-Korba.csv', 'Chhattisgarh-Narayanpur.csv', 'Chhattisgarh-Dhamtari.csv']"
14-1-2021,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Korba.csv', 'Mizoram-Lawngtlai.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Mamit.csv']"
15-1-2021,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Lawngtlai.csv', 'Maharashtra-Gadchiroli.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
16-1-2021,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Narayanpur.csv', 'Mizoram-Kolasib.csv', 'Puducherry-Mahe.csv', 'Mizoram-Mamit.csv']"
17-1-2021,"['Arunachal Pradesh-Upper Siang.csv', 'Chhattisgarh-Bastar.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Mamit.csv']"
18-1-2021,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Chhattisgarh-Korba.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
19-1-2021,"['Chhattisgarh-Narayanpur.csv', 'Chhattisgarh-Bastar.csv', 'Chhattisgarh-Dhamtari.csv', 'Chhattisgarh-Korba.csv']"
20-1-2021,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Chhattisgarh-Korba.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Mamit.csv']"
21-1-2021,"['Mizoram-Serchhip.csv', 'Himachal Pradesh-Kinnaur.csv', 'Mizoram-Mamit.csv', 'Chhattisgarh-Dhamtari.csv']"
22-1-2021,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Lawngtlai.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
23-1-2021,"['Mizoram-Kolasib.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Puducherry-Mahe.csv', 'Mizoram-Mamit.csv']"
24-1-2021,"['Chhattisgarh-Korba.csv', 'Mizoram-Lawngtlai.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
