District name,Population
Tamil Nadu-Vellore.csv,3936331
Tamil Nadu-Viluppuram.csv,3458873
Tamil Nadu-Virudhunagar.csv,1942288
Tripura-Dhalai.csv,378230
Tripura-North Tripura.csv,693947
Tripura-South Tripura.csv,876001
Tripura-West Tripura.csv,1725739
Uttar Pradesh-Agra.csv,4418797
Uttar Pradesh-Aligarh.csv,3673889
Uttar Pradesh-Ambedkar Nagar.csv,2397888
Uttar Pradesh-Auraiya.csv,1379545
Uttar Pradesh-Azamgarh.csv,4613913
Uttar Pradesh-Baghpat.csv,1303048
Uttar Pradesh-Bahraich.csv,3487731
Uttar Pradesh-Ballia.csv,3239774
Uttar Pradesh-Balrampur.csv,2148665
Uttar Pradesh-Banda.csv,1799410
Uttar Pradesh-Bareilly.csv,4448359
Uttar Pradesh-Basti.csv,2464464
Uttar Pradesh-Bijnor.csv,3682713
Uttar Pradesh-Budaun.csv,3681896
Uttar Pradesh-Bulandshahr.csv,3499171
Uttar Pradesh-Chandauli.csv,1952756
Uttar Pradesh-Chitrakoot.csv,991730
Uttar Pradesh-Deoria.csv,3100946
Uttar Pradesh-Etah.csv,1774480
Uttar Pradesh-Etawah.csv,1581810
Uttar Pradesh-Farrukhabad.csv,1885204
Uttar Pradesh-Fatehpur.csv,2632733
Uttar Pradesh-Firozabad.csv,2498156
Uttar Pradesh-Gautam Buddha Nagar.csv,1648115
Uttar Pradesh-Ghaziabad.csv,4681645
Uttar Pradesh-Ghazipur.csv,3620268
Uttar Pradesh-Gonda.csv,3433919
Uttar Pradesh-Gorakhpur.csv,4440895
Uttar Pradesh-Hamirpur.csv,1104285
Uttar Pradesh-Hardoi.csv,4092845
Uttar Pradesh-Jalaun.csv,1689974
Uttar Pradesh-Jaunpur.csv,4494204
Uttar Pradesh-Jhansi.csv,1998603
Uttar Pradesh-Kannauj.csv,1656616
Uttar Pradesh-Kanpur Dehat.csv,1796184
Uttar Pradesh-Kanpur Nagar.csv,4581268
Uttar Pradesh-Kaushambi.csv,1599596
Uttar Pradesh-Kushinagar.csv,3564544
Uttar Pradesh-Lalitpur.csv,1221592
Uttar Pradesh-Lucknow.csv,4589838
Uttar Pradesh-Mahoba.csv,875958
Uttar Pradesh-Mainpuri.csv,1868529
Uttar Pradesh-Mathura.csv,2547184
Uttar Pradesh-Mau.csv,2205968
Uttar Pradesh-Meerut.csv,3443689
Uttar Pradesh-Mirzapur.csv,2496970
Uttar Pradesh-Moradabad.csv,4772006
Uttar Pradesh-Muzaffarnagar.csv,4143512
Uttar Pradesh-Pilibhit.csv,2031007
Uttar Pradesh-Pratapgarh.csv,3209141
Uttar Pradesh-Rae Bareli.csv,3405559
Uttar Pradesh-Rampur.csv,2335819
Uttar Pradesh-Saharanpur.csv,3466382
Uttar Pradesh-Sant Kabir Nagar.csv,1715183
Uttar Pradesh-Shahjahanpur.csv,3006538
Uttar Pradesh-Shrawasti.csv,1117361
Uttar Pradesh-Siddharthnagar.csv,2559297
Uttar Pradesh-Sitapur.csv,4483992
Uttar Pradesh-Sonbhadra.csv,1862559
Uttar Pradesh-Sultanpur.csv,3797117
Uttar Pradesh-Unnao.csv,3108367
Uttar Pradesh-Varanasi.csv,3676841
Uttarakhand-Almora.csv,622506
Uttarakhand-Bageshwar.csv,259898
Uttarakhand-Chamoli.csv,391605
Uttarakhand-Champawat.csv,259648
Uttarakhand-Dehradun.csv,1696694
Uttarakhand-Nainital.csv,954605
Uttarakhand-Pithoragarh.csv,483439
Uttarakhand-Rudraprayag.csv,242285
Uttarakhand-Tehri Garhwal.csv,618931
Uttarakhand-Udham Singh Nagar.csv,1648902
Uttarakhand-Uttarkashi.csv,330086
West Bengal-Bankura.csv,3596674
West Bengal-Birbhum.csv,3502404
West Bengal-Dakshin Dinajpur.csv,1676276
West Bengal-Jalpaiguri.csv,3872846
West Bengal-Kolkata.csv,4496694
West Bengal-Murshidabad.csv,7103807
West Bengal-Nadia.csv,5167600
West Bengal-Paschim Medinipur.csv,5913457
West Bengal-Purba Medinipur.csv,5095875
West Bengal-Uttar Dinajpur.csv,3007134
Andhra Pradesh-Anantapur.csv,4081148
Andhra Pradesh-Chittoor.csv,4174064
Andhra Pradesh-East Godavari.csv,5154296
Andhra Pradesh-Guntur.csv,4887813
Andhra Pradesh-Krishna.csv,4517398
Andhra Pradesh-Kurnool.csv,4053463
Andhra Pradesh-Prakasam.csv,3397448
Andhra Pradesh-Srikakulam.csv,2703114
Andhra Pradesh-Visakhapatnam.csv,4290589
Andhra Pradesh-Vizianagaram.csv,2344474
Andhra Pradesh-West Godavari.csv,3936966
Arunachal Pradesh-Anjaw.csv,21167
Arunachal Pradesh-Changlang.csv,148226
Arunachal Pradesh-East Kameng.csv,78690
Arunachal Pradesh-East Siang.csv,99214
Arunachal Pradesh-Kurung Kumey.csv,92076
Arunachal Pradesh-Lohit.csv,145726
Arunachal Pradesh-Lower Dibang Valley.csv,54080
Arunachal Pradesh-Lower Subansiri.csv,83030
Arunachal Pradesh-Papum Pare.csv,176573
Arunachal Pradesh-Tawang.csv,49977
Arunachal Pradesh-Tirap.csv,111975
Arunachal Pradesh-Upper Siang.csv,35320
Arunachal Pradesh-Upper Subansiri.csv,83448
Arunachal Pradesh-West Kameng.csv,83947
Arunachal Pradesh-West Siang.csv,112274
Bihar-Araria.csv,2811569
Bihar-Arwal.csv,700843
Bihar-Aurangabad.csv,3701282
Bihar-Banka.csv,2034763
Bihar-Begusarai.csv,2970541
Bihar-Bhagalpur.csv,3037766
Bihar-Bhojpur.csv,2728407
Bihar-Buxar.csv,1706352
Bihar-Darbhanga.csv,3937385
Bihar-Gaya.csv,4391418
Bihar-Gopalganj.csv,2562012
Bihar-Jamui.csv,1760405
Bihar-Jehanabad.csv,1125313
Bihar-Katihar.csv,3071029
Bihar-Khagaria.csv,1666886
Bihar-Kishanganj.csv,1690400
Bihar-Lakhisarai.csv,1000912
Bihar-Madhepura.csv,2001762
Bihar-Madhubani.csv,4487379
Bihar-Munger.csv,1367765
Bihar-Muzaffarpur.csv,4801062
Bihar-Nalanda.csv,2877653
Bihar-Nawada.csv,2219146
Bihar-Patna.csv,5838465
Bihar-Purnia.csv,3264619
Bihar-Rohtas.csv,2959918
Bihar-Saharsa.csv,1900661
Bihar-Samastipur.csv,4261566
